,枠番,年齢,体重,平均ST,全国-勝率,全国-2連率,全国-3連率,当地-勝率,当地-2連率,当地-3連率,モーター-2連率,モーター-3連率,単勝オッズ,レーサーid,着順
2,3,46,52.0,0.15,7.16,49.49,58.59,7.74,42.86,65.71,45.77,63.38,6.9,4238,5
3,4,36,53.1,0.12,8.17,56.36,77.27,7.56,55.56,66.67,30.28,44.37,7.3,4856,3
4,5,39,52.3,0.13,8.14,62.31,76.15,7.08,30.77,53.85,35.92,58.45,15.0,3960,4
5,6,35,52.3,0.13,6.82,47.06,61.34,7.54,51.22,58.54,41.67,60.42,21.2,4482,6
0,1,41,52.0,0.12,8.05,63.46,79.81,6.94,47.22,66.67,20.0,50.0,1.3,3941,4
1,2,39,51.5,0.13,8.28,60.0,77.78,8.0,61.76,76.47,40.74,70.37,3.0,3388,6
2,3,37,53.2,0.12,7.35,47.71,71.56,7.86,57.14,78.57,40.0,64.0,8.1,4266,5
3,4,33,51.5,0.13,7.14,50.0,66.95,7.13,47.83,60.87,53.33,66.67,20.4,4719,1
4,5,36,45.0,0.15,7.24,45.54,71.29,7.34,37.5,59.38,50.0,61.54,21.8,4371,3
5,6,46,52.0,0.14,6.67,39.39,51.52,7.11,35.71,57.14,42.86,60.71,44.8,4502,2
0,1,27,52.0,0.19,6.06,39.39,65.91,0.0,0.0,0.0,37.57,54.34,2.7,4939,3
1,2,29,52.0,0.16,6.11,48.44,60.94,5.61,47.83,56.52,32.42,52.2,2.2,4907,2
2,3,28,51.0,0.15,7.18,57.05,77.18,8.44,83.33,88.89,37.75,58.28,2.5,4831,5
3,4,27,51.5,0.15,6.05,44.12,60.78,0.0,0.0,0.0,30.25,45.38,52.5,5121,6
4,5,29,53.5,0.14,7.08,42.42,61.62,0.0,0.0,0.0,36.42,54.34,10.5,4851,1
5,6,23,51.5,0.14,6.53,50.47,65.42,4.83,28.57,40.0,29.01,43.21,52.5,4980,4
0,1,51,50.5,0.14,6.94,45.37,61.11,5.17,33.33,33.33,39.51,62.96,1.7,4168,1
1,2,38,52.0,0.11,8.39,60.53,73.68,8.0,50.0,100.0,42.68,56.69,2.1,4320,2
2,3,39,53.2,0.13,6.75,41.23,56.14,7.0,40.0,60.0,43.48,61.49,8.4,4262,4
3,4,45,52.0,0.12,8.09,61.24,75.19,0.0,0.0,0.0,35.26,51.28,15.4,4586,5
4,5,39,52.5,0.15,7.51,54.17,69.79,7.56,55.56,77.78,31.69,50.0,19.0,4459,6
5,6,25,52.0,0.14,6.82,50.0,66.33,6.44,44.44,55.56,38.13,53.75,18.7,4444,3
0,1,39,52.0,0.13,8.63,62.5,80.36,7.9,50.0,70.0,39.39,45.45,1.0,4320,1
1,2,37,52.6,0.12,7.38,47.57,69.9,6.83,42.5,60.0,50.0,70.0,11.7,3941,5
2,3,36,52.3,0.14,7.69,62.79,74.42,6.52,52.17,56.52,43.9,58.54,11.0,4205,6
3,4,40,52.9,0.13,6.8,41.94,60.48,7.4,50.0,60.0,60.0,73.33,15.7,4238,4
4,5,40,52.4,0.13,7.58,49.6,68.8,7.4,50.0,65.0,29.55,47.73,8.6,3897,3
5,6,37,52.0,0.13,7.61,54.92,68.03,8.2,53.33,86.67,33.33,57.58,24.1,4418,2
0,1,44,52.0,0.14,6.65,48.51,68.32,5.29,14.29,42.86,35.0,46.88,1.2,4468,6
1,2,46,52.0,0.15,7.52,59.02,78.69,7.26,48.39,74.19,32.65,46.94,4.1,4028,3
2,3,37,52.1,0.17,6.51,50.0,65.08,7.11,57.41,72.22,35.33,57.33,6.8,4095,1
3,4,35,51.0,0.18,5.58,38.05,54.87,6.1,44.83,63.79,30.0,46.0,16.8,4044,2
4,5,46,52.0,0.14,6.89,50.52,73.2,6.0,36.36,52.27,38.46,58.04,16.1,4364,4
5,6,33,52.0,0.14,5.82,41.38,59.48,6.48,47.92,68.75,31.43,45.0,22.1,4344,5
0,1,52,52.0,0.16,6.45,49.09,73.64,6.25,49.02,68.63,52.08,68.75,1.7,3590,2
1,2,35,46.5,0.16,7.25,56.52,75.65,6.84,56.25,71.88,40.88,52.55,3.2,4547,3
2,3,38,53.1,0.18,6.43,47.22,66.67,6.21,51.28,66.67,38.35,52.63,10.9,4787,1
3,4,35,51.5,0.12,6.43,52.81,67.42,6.7,55.41,72.97,37.59,52.63,7.8,3978,6
4,5,50,53.4,0.13,7.57,51.85,64.81,7.87,65.96,74.47,37.12,58.33,5.2,4573,5
5,6,42,52.3,0.15,6.21,45.79,60.75,6.43,50.0,64.29,38.64,54.55,25.5,4939,4
0,1,28,52.0,0.14,6.55,45.45,61.82,7.85,55.0,70.0,28.57,100.0,1.0,4468,2
1,2,29,52.0,0.16,6.12,44.63,60.33,5.92,47.69,60.0,38.46,46.15,6.5,4063,1
2,3,35,52.0,0.16,5.73,38.89,51.11,6.73,63.64,72.73,42.86,42.86,12.5,4760,5
3,4,35,55.5,0.14,5.99,46.24,61.29,5.9,50.0,70.0,100.0,100.0,12.5,3898,3
4,5,36,52.5,0.15,5.22,36.21,48.28,3.8,10.0,30.0,35.71,42.86,28.5,4769,6
5,6,56,52.0,0.21,4.9,29.67,46.15,0.0,0.0,0.0,71.43,71.43,15.7,4932,4
0,1,39,48.1,0.17,5.56,36.11,53.7,6.17,43.18,61.36,35.15,55.94,1.4,4387,1
1,2,36,45.5,0.15,5.78,42.42,59.6,4.6,30.0,40.0,30.5,46.0,6.4,4501,3
2,3,38,46.5,0.15,6.75,42.71,66.67,7.12,52.94,72.55,34.62,53.85,3.6,4208,2
3,4,47,49.9,0.17,4.06,25.0,30.95,5.64,44.44,55.56,38.92,51.89,9.7,4738,5
4,5,35,47.0,0.16,5.37,40.51,53.16,5.8,40.0,70.0,39.13,58.7,11.4,5056,6
5,6,51,47.2,0.16,5.1,35.56,47.78,4.56,23.53,41.18,36.6,51.03,37.2,4627,4
0,1,23,52.0,0.14,7.03,53.98,67.26,8.12,64.71,88.24,41.67,54.17,1.2,4320,1
1,2,48,52.0,0.15,7.66,59.48,75.0,6.65,55.0,70.0,47.06,67.65,5.6,3941,2
2,3,54,51.5,0.16,7.56,51.59,73.81,6.33,33.33,44.44,35.71,57.14,7.8,4238,6
3,4,37,52.0,0.13,7.5,53.78,70.59,5.9,50.0,60.0,37.04,59.26,9.4,4371,4
4,5,41,52.2,0.14,6.95,46.94,62.24,0.0,0.0,0.0,39.29,50.0,12.4,4262,5
5,6,36,52.0,0.14,6.39,35.29,56.86,7.82,63.64,87.27,29.03,38.71,36.0,4444,3
0,1,41,46.5,0.17,7.73,64.75,79.86,6.72,51.28,70.94,24.64,43.48,1.1,4208,1
1,2,27,47.4,0.17,5.77,39.67,54.55,4.42,25.71,38.1,34.88,51.16,5.5,3435,6
2,3,22,46.5,0.18,5.73,41.12,57.01,5.15,34.33,50.75,43.42,59.21,8.2,4190,4
3,4,39,47.0,0.14,6.13,48.03,60.63,5.22,33.33,44.44,41.67,66.67,12.5,4963,2
4,5,35,45.0,0.16,5.33,34.88,46.51,5.47,36.84,57.89,39.53,54.65,13.3,4611,3
5,6,40,49.8,0.18,3.59,16.22,24.32,2.2,10.0,20.0,37.84,60.81,35.7,5045,5
0,1,33,52.1,0.16,7.23,53.85,68.27,7.29,45.71,62.86,30.36,54.46,1.1,3960,1
1,2,46,53.8,0.1,6.95,41.0,60.0,7.8,61.9,80.0,28.97,52.34,4.7,3415,4
2,3,39,52.0,0.14,6.93,48.76,67.77,6.12,42.31,57.69,40.0,49.52,16.1,4686,3
3,4,36,52.0,0.13,7.23,57.03,75.0,8.1,76.67,83.33,45.63,67.96,10.5,4459,2
4,5,33,51.5,0.13,6.82,47.27,56.36,0.0,0.0,0.0,30.48,46.67,17.5,3897,6
5,6,44,52.2,0.17,6.38,43.43,66.67,7.06,52.94,74.79,36.36,57.27,27.5,4586,5
0,1,37,52.0,0.12,7.82,47.06,75.29,9.63,62.5,87.5,33.05,45.92,1.2,3941,2
1,2,36,52.2,0.14,7.23,46.94,68.37,7.17,48.28,62.07,47.95,65.3,3.9,3897,3
2,3,39,52.8,0.13,6.89,45.63,65.05,7.86,73.81,85.71,40.38,61.54,15.9,4320,1
3,4,33,52.0,0.12,7.05,48.96,62.5,7.63,59.7,73.13,34.02,55.33,7.6,4444,5
4,5,43,52.0,0.14,6.69,46.81,65.96,6.94,51.2,67.2,32.1,53.09,22.5,4024,4
5,6,30,55.2,0.11,6.57,48.18,62.73,6.11,44.44,55.56,35.09,50.44,33.8,4586,6
0,1,52,52.0,0.16,6.99,56.7,73.2,6.26,34.78,65.22,33.59,52.34,1.0,3388,1
1,2,33,52.2,0.16,6.5,43.88,61.22,7.83,73.91,86.96,37.19,52.07,5.4,4075,2
2,3,30,52.3,0.14,7.15,55.05,68.81,7.68,64.71,76.47,28.0,44.8,22.2,4296,5
3,4,39,51.0,0.14,6.25,47.5,61.67,6.08,44.0,52.0,35.07,50.75,41.3,3737,4
4,5,36,57.9,0.14,7.32,60.82,78.35,5.75,41.67,58.33,41.46,60.16,7.1,3721,3
5,6,36,52.0,0.15,6.33,45.36,67.01,6.2,45.0,65.0,29.46,46.51,48.2,4772,6
0,1,37,46.5,0.17,6.67,47.01,72.39,8.09,63.64,90.91,35.12,50.0,1.0,4050,1
1,2,36,45.0,0.15,5.08,33.33,50.51,6.57,57.14,71.43,23.67,40.24,11.6,3999,3
2,3,40,45.0,0.14,5.63,35.9,52.56,6.8,50.0,70.0,34.32,53.25,9.4,4473,2
3,4,48,45.5,0.19,6.26,45.26,68.42,5.41,34.48,48.28,32.35,49.41,36.0,3845,4
4,5,42,47.1,0.2,4.77,32.91,41.77,4.11,33.33,33.33,46.89,63.84,72.1,4738,5
5,6,60,49.0,0.2,5.19,31.82,54.55,6.22,44.44,66.67,43.02,55.81,72.1,4501,6
0,1,54,51.5,0.16,7.52,50.0,72.41,7.24,55.88,64.71,63.16,73.68,1.0,4418,4
1,2,51,52.2,0.16,5.86,44.66,61.17,6.1,45.0,60.71,45.45,54.55,9.2,3716,1
2,3,44,52.0,0.13,6.95,44.63,66.12,7.61,52.17,69.57,61.9,80.95,9.2,4013,3
3,4,29,52.6,0.14,5.45,33.33,52.38,4.6,30.0,40.0,0.0,27.78,19.1,4573,5
4,5,33,52.9,0.18,5.11,27.66,51.06,5.9,50.0,60.0,22.22,22.22,49.8,5084,2
5,6,44,54.0,0.14,6.26,43.28,64.93,5.93,43.24,61.26,0.0,11.11,35.5,4025,6
0,1,34,53.2,0.13,6.86,39.22,53.92,6.41,22.73,45.45,30.88,45.59,1.3,3897,1
1,2,41,51.0,0.13,7.35,59.52,73.81,6.71,47.44,64.1,29.46,50.39,7.1,4586,3
2,3,36,53.0,0.14,7.35,60.0,75.45,6.65,54.05,67.57,46.34,60.16,5.4,4418,2
3,4,38,52.1,0.16,6.67,47.9,68.07,6.72,44.44,77.78,35.11,53.44,11.3,4024,4
4,5,51,53.3,0.14,6.67,48.08,64.42,6.46,45.05,63.74,28.57,42.86,10.6,5121,5
5,6,39,52.7,0.13,7.39,50.54,68.82,6.58,30.77,57.69,35.43,51.97,12.8,4477,6
0,1,38,52.0,0.14,8.26,67.65,80.88,8.28,66.67,80.56,46.76,61.15,1.0,3960,1
1,2,40,52.0,0.13,6.82,42.98,58.77,7.0,40.0,60.0,41.96,58.74,20.5,4362,2
2,3,30,51.0,0.15,7.49,50.47,65.42,6.5,40.63,53.13,37.5,63.89,7.2,5121,3
3,4,40,52.0,0.13,7.35,43.51,64.12,8.68,71.05,89.47,48.25,60.14,7.0,3415,5
4,5,46,52.0,0.13,8.0,55.93,69.49,7.5,25.0,50.0,49.66,65.31,17.1,4371,6
5,6,46,52.0,0.1,7.06,41.67,58.33,7.47,54.9,64.71,37.5,54.86,31.5,4719,4
0,1,35,46.5,0.16,6.88,52.34,69.16,6.0,45.45,63.64,35.44,53.8,1.1,4546,1
1,2,28,44.0,0.16,5.49,34.78,52.17,6.82,50.0,63.64,41.77,58.86,6.6,4117,4
2,3,41,47.1,0.18,4.5,25.56,42.22,4.6,24.44,42.22,29.22,50.65,11.3,4289,3
3,4,26,49.3,0.17,4.08,20.0,36.0,3.81,13.43,31.34,40.61,53.94,10.5,4530,2
4,5,21,46.5,0.16,5.56,38.27,54.32,3.57,14.29,28.57,21.19,37.75,11.8,4738,5
5,6,55,46.0,0.2,4.15,19.72,40.85,5.11,31.58,47.37,38.36,56.6,32.1,4450,6
0,1,32,52.0,0.14,7.26,57.65,69.41,6.64,38.3,55.32,39.35,55.09,1.1,3854,1
1,2,37,54.0,0.12,6.71,43.36,58.41,6.44,33.33,44.44,37.44,56.4,11.9,4262,6
2,3,35,52.2,0.13,7.38,51.92,67.31,8.33,64.29,88.1,40.28,56.94,7.1,4831,4
3,4,30,51.5,0.14,7.85,52.78,69.44,8.0,80.0,90.0,36.94,55.41,6.4,4787,2
4,5,39,52.6,0.15,7.49,54.55,70.45,6.63,42.11,52.63,28.64,44.66,19.9,3415,5
5,6,35,52.0,0.14,7.16,49.04,67.31,6.62,30.77,53.85,39.91,58.74,23.4,4444,3
0,1,49,52.0,0.13,6.62,49.32,60.27,6.5,46.43,46.43,29.55,54.55,1.1,4418,1
1,2,37,52.0,0.12,7.56,45.54,71.29,8.36,57.58,81.82,30.56,61.11,5.4,4586,4
2,3,39,52.0,0.14,6.84,45.24,63.49,7.36,53.57,67.86,36.17,48.94,12.4,4444,5
3,4,30,52.0,0.14,7.8,57.39,70.43,7.63,63.16,73.68,36.84,55.26,10.5,3941,2
4,5,37,52.0,0.14,6.48,43.9,61.79,6.62,40.0,64.44,27.91,55.81,32.0,4238,3
5,6,29,51.0,0.15,7.37,54.26,74.42,9.63,87.5,100.0,25.0,37.5,28.4,4445,6
0,1,45,52.3,0.11,7.57,53.33,67.5,0.0,0.0,0.0,23.53,58.82,1.1,3897,2
1,2,46,51.0,0.14,6.86,48.06,65.89,8.61,77.78,88.89,33.33,41.67,9.7,3946,6
2,3,50,52.1,0.17,7.23,50.96,73.08,0.0,0.0,0.0,33.33,53.33,11.2,3590,4
3,4,45,52.0,0.16,6.76,51.35,72.07,5.67,33.33,66.67,28.57,50.0,9.0,3854,3
4,5,54,52.0,0.16,7.29,43.55,66.94,7.63,37.5,50.0,15.38,38.46,9.5,3721,1
5,6,48,52.0,0.1,6.99,45.1,59.8,5.76,29.41,29.41,37.5,50.0,12.9,3960,5
0,1,37,52.0,0.14,7.31,54.24,71.19,7.47,46.67,66.67,46.98,61.07,1.7,3941,1
1,2,39,52.0,0.13,8.44,59.26,76.85,6.86,57.14,71.43,33.57,54.55,2.9,4445,2
2,3,46,52.0,0.1,7.07,41.41,59.6,9.63,87.5,87.5,28.67,44.76,5.5,4030,3
3,4,47,52.0,0.14,6.83,41.44,63.96,8.19,70.37,77.78,37.24,55.17,10.9,3960,4
4,5,38,52.3,0.16,6.84,55.3,71.21,7.27,53.33,80.0,36.48,58.49,17.4,4024,6
5,6,46,52.0,0.14,6.29,38.46,46.15,7.19,56.8,71.01,35.95,50.98,11.2,4685,5
0,1,44,54.5,0.17,6.22,39.06,61.72,5.97,43.59,64.1,40.68,55.08,1.4,3908,1
1,2,34,51.0,0.16,5.04,30.11,46.24,4.58,26.32,36.84,39.39,52.27,7.1,3946,3
2,3,40,52.0,0.16,6.13,46.6,61.17,6.23,46.15,61.54,44.44,62.7,4.7,3966,5
3,4,55,52.0,0.14,6.34,46.67,68.89,4.48,24.0,36.0,33.33,49.59,6.2,4503,2
4,5,34,51.0,0.15,5.16,29.03,54.84,5.41,37.5,56.25,32.06,48.09,14.8,4174,4
5,6,28,53.2,0.15,5.18,29.41,45.88,0.0,0.0,0.0,39.69,48.85,18.4,5136,6
0,1,31,48.2,0.17,5.83,38.89,58.73,6.25,46.43,71.43,38.18,52.73,1.2,4387,2
1,2,23,47.0,0.19,3.89,20.75,30.19,4.24,27.12,36.44,35.56,46.67,8.6,3435,1
2,3,53,45.5,0.19,4.7,31.46,46.07,2.33,0.0,16.67,42.22,48.89,7.9,4433,3
3,4,40,47.3,0.15,4.48,26.25,41.25,0.0,0.0,0.0,41.67,58.33,5.7,3618,5
4,5,52,47.8,0.14,4.92,30.0,46.67,4.95,26.32,47.37,37.21,44.19,11.2,3232,6
5,6,50,47.7,0.17,4.37,25.4,41.27,4.86,19.05,57.14,32.61,58.7,33.1,4190,4
0,1,35,45.5,0.15,7.04,52.17,66.96,7.08,52.81,65.17,26.53,48.98,1.1,4482,1
1,2,34,47.0,0.16,7.44,62.67,78.67,7.7,50.0,100.0,31.25,43.75,6.3,4372,3
2,3,27,47.0,0.13,6.0,35.44,64.56,6.25,45.0,61.67,38.0,56.0,8.1,3435,5
3,4,32,43.5,0.19,5.12,32.65,55.1,0.0,0.0,0.0,33.33,49.02,16.7,4556,2
4,5,54,45.5,0.17,6.62,54.29,68.57,6.59,50.53,69.47,39.58,56.25,12.5,4964,6
5,6,45,48.5,0.17,4.0,15.38,38.46,4.57,42.86,42.86,28.57,51.02,25.1,4938,4
0,1,37,52.0,0.12,7.4,36.05,70.93,8.16,60.0,76.0,37.78,50.0,1.1,4418,1
1,2,35,46.5,0.15,7.57,54.9,74.51,7.26,55.56,68.69,36.14,59.04,7.4,3897,3
2,3,35,51.5,0.15,5.99,39.76,55.42,5.84,44.74,52.63,55.29,67.06,12.0,4445,2
3,4,36,52.9,0.12,8.09,54.74,76.84,8.53,73.33,86.67,32.18,44.83,7.2,3960,5
4,5,37,53.3,0.12,6.71,41.23,59.65,6.28,34.48,62.07,31.82,54.55,27.6,4831,4
5,6,45,52.7,0.11,7.58,53.57,68.75,6.97,45.95,59.46,39.77,60.23,21.9,4482,6
0,1,39,52.4,0.14,7.28,55.05,64.22,7.28,58.97,66.67,27.78,44.44,1.1,3721,6
1,2,29,53.6,0.15,5.85,41.24,54.64,7.0,55.56,62.96,40.27,56.38,9.8,4042,1
2,3,28,52.0,0.15,6.7,50.52,67.01,6.73,40.54,62.16,30.25,48.15,7.3,4370,5
3,4,39,52.0,0.16,5.98,43.31,59.06,6.16,43.24,56.76,41.33,62.0,8.0,4503,3
4,5,38,52.8,0.16,6.34,47.78,67.78,7.56,55.56,88.89,38.71,58.71,22.7,4074,2
5,6,41,52.0,0.15,6.78,51.35,72.07,6.24,44.44,66.08,32.72,53.09,12.1,4352,4
0,1,35,46.0,0.15,7.5,56.19,79.05,7.11,50.0,60.71,41.77,59.49,1.0,4482,1
1,2,36,47.0,0.19,6.1,46.81,63.83,6.03,37.5,53.13,42.21,63.64,8.4,4546,6
2,3,36,48.6,0.15,5.73,38.71,59.14,5.38,40.63,50.0,30.67,46.0,9.8,4387,5
3,4,37,49.1,0.19,5.27,29.91,54.7,5.65,30.0,60.0,28.36,41.04,16.7,4502,4
4,5,38,47.0,0.19,6.53,44.58,63.86,7.18,72.73,72.73,31.9,44.79,17.5,4963,2
5,6,36,45.5,0.14,7.07,48.84,67.44,6.21,34.48,68.97,39.61,51.3,13.4,4961,3
0,1,43,46.5,0.16,7.24,59.78,69.57,7.18,55.0,67.5,29.9,49.48,1.0,4050,1
1,2,34,47.6,0.16,5.93,43.16,56.84,5.48,38.1,52.38,33.72,54.65,8.2,3845,5
2,3,39,44.5,0.16,6.11,41.18,57.65,6.57,42.86,75.0,35.0,50.0,10.2,4117,2
3,4,33,47.0,0.14,5.99,40.43,57.45,6.38,52.08,66.67,30.3,55.56,14.1,4045,3
4,5,44,47.9,0.19,5.77,41.77,60.76,5.74,37.68,60.87,32.18,50.57,20.5,4927,4
5,6,27,46.0,0.18,4.56,26.88,44.09,2.0,0.0,0.0,29.27,46.34,56.6,4611,6
0,1,36,52.0,0.13,7.7,60.0,74.62,7.21,50.0,67.86,34.25,52.74,1.2,4262,1
1,2,40,51.5,0.13,7.78,48.15,64.81,7.18,52.94,64.71,42.11,51.13,3.4,4238,4
2,3,34,52.0,0.13,7.23,53.33,70.37,7.75,75.0,83.33,37.41,51.8,6.9,4320,6
3,4,45,52.0,0.14,6.54,45.71,57.14,5.13,31.25,50.0,38.58,55.12,26.5,4337,2
4,5,34,52.3,0.13,6.81,38.33,54.17,0.0,0.0,0.0,34.92,46.03,20.1,3960,3
5,6,36,52.8,0.13,7.46,55.7,72.15,7.11,50.0,66.67,38.69,54.74,36.4,3941,5
0,1,39,52.0,0.13,8.15,56.04,74.73,8.37,70.0,85.0,31.4,56.98,1.0,3783,2
1,2,33,52.0,0.13,7.16,42.27,59.79,6.68,35.71,53.57,32.89,51.32,5.4,3897,4
2,3,47,54.3,0.14,7.36,51.58,68.42,8.36,67.86,89.29,45.33,60.0,10.1,4168,3
3,4,43,52.9,0.14,7.16,53.45,72.41,7.43,65.22,73.91,30.95,44.05,24.7,4320,6
4,5,48,51.5,0.14,7.13,51.92,66.35,7.67,59.55,77.53,29.41,45.59,19.8,4238,1
5,6,33,51.5,0.13,7.1,48.15,62.04,7.5,37.5,62.5,28.79,51.52,32.6,4350,5
0,1,47,45.5,0.19,6.07,39.76,55.42,0.0,0.0,0.0,44.93,60.87,1.3,4590,1
1,2,51,47.5,0.15,6.11,39.25,60.75,6.5,50.0,62.5,32.89,44.74,7.4,3611,2
2,3,44,45.5,0.18,5.48,37.61,48.72,0.0,0.0,0.0,48.39,53.23,8.5,3188,3
3,4,33,51.1,0.12,4.38,24.32,39.19,5.93,51.72,62.07,29.51,52.46,5.6,4240,4
4,5,55,46.0,0.2,5.16,35.71,49.11,5.89,44.44,44.44,33.33,57.58,12.8,4447,5
5,6,34,46.5,,4.81,26.42,49.06,6.25,60.0,70.0,33.8,57.75,13.5,5045,6
0,1,36,45.5,0.15,7.16,43.48,69.57,5.73,23.08,34.62,50.55,57.14,1.1,4546,1
1,2,36,47.0,0.16,7.47,59.26,74.07,5.67,22.22,55.56,38.24,59.8,6.6,4208,2
2,3,37,46.5,0.17,6.4,44.86,66.36,6.91,68.18,72.73,37.84,58.56,7.2,4387,5
3,4,24,47.0,0.18,5.6,36.46,51.04,4.1,25.0,30.0,34.09,46.21,15.4,4123,4
4,5,42,46.0,0.17,6.21,42.42,66.67,0.0,0.0,0.0,36.36,55.84,23.8,4590,3
5,6,39,46.0,0.16,6.59,47.97,68.29,8.1,66.67,95.24,37.08,48.31,29.8,4502,6
0,1,27,52.0,0.16,7.18,52.63,74.56,7.67,47.62,85.71,28.35,47.24,1.1,4566,1
1,2,46,52.0,0.17,5.52,32.03,53.13,6.5,50.0,70.0,39.47,56.14,14.3,4886,6
2,3,39,52.1,0.14,7.16,54.69,72.66,6.91,53.49,73.64,38.32,55.14,6.8,4364,2
3,4,37,53.7,0.15,6.36,43.18,65.91,6.2,46.67,53.33,35.07,52.24,8.0,4914,4
4,5,41,52.0,0.13,5.6,38.32,52.34,0.0,0.0,0.0,29.41,35.29,21.5,4136,5
5,6,50,54.8,0.17,5.21,30.63,49.55,5.08,32.0,44.0,39.26,55.56,23.9,4832,3
0,1,35,52.0,0.14,7.39,50.42,65.55,7.87,51.28,69.23,32.0,49.33,1.2,4444,1
1,2,38,52.0,0.11,8.4,65.66,79.8,8.04,62.96,81.48,43.38,58.09,3.3,4851,4
2,3,36,52.7,0.14,7.19,43.27,56.73,7.04,44.0,76.0,35.25,51.08,17.6,4013,6
3,4,30,52.0,0.14,7.85,59.62,72.12,7.21,38.46,65.38,56.12,71.94,9.1,4320,2
4,5,49,52.0,0.13,6.92,46.61,65.25,5.82,23.53,41.18,38.26,56.38,35.1,4524,5
5,6,37,52.0,0.12,7.44,38.89,68.06,6.91,34.78,47.83,31.03,53.79,32.5,4719,3
0,1,54,52.1,0.15,7.57,48.44,70.31,7.62,44.83,68.97,41.18,52.94,1.4,4320,1
1,2,29,52.0,0.15,7.49,56.82,74.24,7.93,35.71,78.57,34.78,43.48,9.0,3960,4
2,3,46,54.9,0.14,6.57,43.0,58.0,6.89,40.74,55.56,47.06,58.82,18.6,4205,2
3,4,30,52.0,0.12,7.65,51.43,67.62,6.97,36.76,61.76,41.18,52.94,4.3,4166,3
4,5,42,52.2,0.12,6.92,51.75,67.83,7.29,61.9,76.19,42.31,69.23,4.4,4418,6
5,6,29,52.7,0.14,6.82,39.6,55.45,7.67,43.33,66.67,34.48,48.28,28.5,4851,5
0,1,28,52.0,0.13,5.52,37.88,53.79,4.79,24.14,44.83,41.88,55.0,1.4,5017,1
1,2,24,51.5,0.16,5.83,37.14,60.95,5.9,40.0,60.0,41.72,59.51,9.8,5042,4
2,3,26,52.0,0.15,6.35,48.53,65.44,0.0,0.0,0.0,47.88,59.39,5.8,4961,6
3,4,26,53.0,0.14,6.56,49.53,67.29,5.68,41.94,58.06,30.82,50.94,5.0,5226,2
4,5,29,52.6,0.14,6.2,38.98,66.1,5.6,30.0,60.0,31.17,47.4,8.7,4856,3
5,6,28,52.3,0.15,6.38,45.26,60.0,0.0,0.0,0.0,38.59,54.35,12.7,4983,5
0,1,35,52.0,0.14,6.56,37.7,58.2,6.96,54.46,71.43,29.1,44.03,2.2,4932,1
1,2,37,52.0,0.13,6.88,53.49,65.12,6.68,40.0,68.0,39.18,62.57,5.0,4024,4
2,3,39,52.4,0.13,7.47,50.81,65.32,7.41,53.13,68.75,34.48,54.48,3.7,4685,2
3,4,49,52.1,0.13,6.46,45.64,59.73,7.6,50.0,50.0,39.58,55.56,5.7,4502,6
4,5,47,52.0,0.14,6.76,43.2,64.0,6.96,53.85,61.54,42.86,61.22,7.1,4238,3
5,6,28,52.7,0.13,6.85,38.46,56.41,0.0,0.0,0.0,40.94,53.69,8.6,3960,5
0,1,47,52.0,0.14,6.81,43.22,61.02,7.43,66.67,66.67,32.43,48.65,1.5,4504,1
1,2,38,52.0,0.13,7.48,48.84,66.67,6.83,33.33,61.11,35.14,56.76,5.0,4719,2
2,3,30,52.6,0.15,6.88,48.06,67.44,5.8,40.0,50.0,28.21,51.28,6.2,3960,3
3,4,23,52.0,0.14,7.23,48.0,68.8,5.71,29.41,35.29,33.33,42.86,6.0,3590,4
4,5,39,52.0,0.14,7.04,50.0,69.29,8.0,63.64,90.91,42.42,69.7,14.5,5121,6
5,6,38,52.0,0.15,7.1,55.2,72.8,6.63,44.44,66.67,36.36,48.48,11.1,4236,5
0,1,38,52.0,0.15,5.37,34.07,48.35,6.0,41.18,58.82,43.04,65.19,2.0,5112,5
1,2,44,52.4,0.15,6.58,46.61,65.25,6.8,48.98,59.18,37.25,56.21,2.9,4575,4
2,3,43,52.3,0.17,6.07,46.49,66.67,5.5,40.0,60.0,33.33,49.33,4.2,4888,6
3,4,37,52.0,0.15,6.21,50.42,68.07,6.44,46.9,67.26,25.66,43.42,6.2,4000,3
4,5,31,52.5,0.15,5.58,36.04,55.86,5.0,30.77,53.85,45.81,63.23,13.2,4379,2
5,6,24,52.0,0.15,6.16,48.46,63.08,5.38,32.69,51.92,21.85,36.42,29.8,4296,1
0,1,45,52.1,0.16,7.21,59.6,78.79,6.36,45.28,66.04,44.85,63.97,1.6,4528,3
1,2,49,52.0,0.15,6.82,54.76,68.25,6.07,42.59,62.96,30.88,49.26,9.3,4610,5
2,3,38,52.2,0.14,6.58,41.8,59.02,6.59,52.11,64.79,39.53,60.47,9.3,4535,6
3,4,29,50.0,0.15,7.08,41.67,63.1,7.71,66.07,78.57,28.68,51.47,2.5,4305,1
4,5,51,52.0,0.14,6.22,46.79,63.3,5.88,34.69,69.39,31.01,50.39,12.1,3159,4
5,6,34,55.0,0.14,6.42,46.96,65.22,6.81,59.26,74.07,35.25,54.68,24.3,3256,2
0,1,58,52.0,0.17,4.77,27.03,45.95,4.97,30.65,45.16,57.14,71.43,2.3,4769,4
1,2,34,58.3,0.17,5.11,31.11,48.89,2.67,0.0,0.0,0.0,33.33,5.6,4104,1
