,枠番,年齢,体重,平均ST,全国-勝率,全国-2連率,全国-3連率,当地-勝率,当地-2連率,当地-3連率,モーター-2連率,モーター-3連率,単勝オッズ,レーサーid,着順
2,3,32,52.0,0.13,6.72,52.21,61.06,5.63,12.5,25.0,29.91,43.93,6.0,5034,4
3,4,34,52.0,0.17,7.2,52.14,75.21,0.0,0.0,0.0,40.19,62.62,5.7,3854,6
4,5,36,52.2,0.15,6.81,49.53,68.22,6.94,38.89,61.11,37.04,45.37,12.5,4685,3
5,6,30,52.0,0.14,6.03,41.13,58.87,6.17,36.67,63.33,39.29,50.89,16.6,4148,5
0,1,41,52.6,0.15,6.18,47.24,62.2,0.0,0.0,0.0,32.66,53.63,4.6,4516,2
1,2,45,52.6,0.14,6.01,39.25,53.27,7.5,57.14,76.19,42.92,58.49,1.7,4504,3
2,3,41,52.3,0.15,6.46,49.5,66.34,6.93,58.7,70.65,37.5,51.34,3.7,4013,6
3,4,48,52.0,0.12,7.96,69.57,79.13,8.88,90.91,96.97,37.9,59.36,6.0,3716,1
4,5,37,52.0,0.13,7.75,65.94,80.43,6.9,54.76,73.81,31.53,47.75,13.2,3952,4
5,6,36,52.0,0.14,7.41,60.58,69.34,6.63,41.67,50.0,35.83,50.0,33.5,4409,5
0,1,31,56.4,0.11,6.28,42.11,65.26,5.35,26.09,39.13,27.91,44.96,1.1,5267,6
1,2,28,52.1,0.13,5.53,40.52,53.45,5.94,45.16,64.52,33.09,48.53,9.6,3532,1
2,3,57,53.9,0.14,5.98,44.09,60.63,5.85,30.0,55.0,38.57,53.57,10.4,4848,4
3,4,38,52.0,0.16,6.33,49.43,65.52,7.62,65.38,84.62,28.68,36.43,6.5,4776,2
4,5,40,54.5,0.17,5.73,38.78,56.12,2.88,0.0,25.0,30.83,50.83,25.0,4096,3
5,6,52,52.3,0.17,5.26,34.34,47.47,5.18,29.55,50.0,36.89,54.92,17.8,4877,5
0,1,63,45.5,0.17,6.06,40.15,64.39,5.55,30.0,45.0,31.82,53.41,1.3,4473,1
1,2,28,47.0,0.15,5.92,42.52,59.06,4.35,23.08,42.31,34.52,45.24,4.8,3994,3
2,3,50,47.7,0.21,4.06,16.67,33.33,2.8,0.0,20.0,30.23,51.74,9.3,4443,2
3,4,27,46.0,0.17,0.0,0.0,0.0,3.78,27.78,27.78,37.35,48.19,6.0,4373,4
4,5,35,45.0,0.22,3.95,16.07,32.14,1.67,0.0,0.0,37.21,52.91,12.3,3518,5
5,6,22,51.8,0.2,2.12,1.3,6.49,1.76,0.0,6.0,35.03,45.86,29.3,4940,6
0,1,39,51.0,0.14,5.75,42.73,60.91,5.91,42.54,59.7,58.33,66.67,1.0,4036,1
1,2,37,51.5,0.18,4.72,27.55,39.8,5.81,41.94,58.06,40.0,55.0,9.3,4649,2
2,3,37,52.0,0.14,5.93,41.18,62.5,6.1,38.46,66.67,60.0,60.0,6.7,4040,6
3,4,40,51.5,0.13,5.16,33.98,47.57,6.6,40.0,50.0,0.0,21.05,13.8,5109,5
4,5,34,55.6,0.16,5.36,31.25,57.29,5.18,36.36,45.45,20.0,20.0,52.5,4676,4
5,6,36,54.7,0.16,4.98,28.87,50.52,6.24,47.62,66.67,60.0,80.0,32.8,4902,3
0,1,40,54.6,0.16,6.74,52.14,70.09,6.17,40.0,63.33,34.11,45.74,1.1,4445,3
1,2,40,52.3,0.15,6.85,44.74,64.04,0.0,0.0,0.0,41.73,61.42,4.7,4278,5
2,3,33,52.8,0.14,6.95,45.45,72.73,6.4,43.61,65.41,30.89,43.9,9.4,4361,2
3,4,45,52.0,0.12,6.68,52.73,72.73,7.6,60.0,86.67,31.34,48.51,14.8,4908,6
4,5,35,52.5,0.16,6.71,49.62,63.91,6.56,50.91,67.27,38.98,51.69,12.4,4828,4
5,6,48,52.0,0.15,6.89,55.26,68.42,6.38,40.98,60.66,31.06,50.0,59.2,4528,1
0,1,25,52.0,0.14,7.31,54.33,74.8,0.0,0.0,0.0,32.47,46.1,1.2,4503,1
1,2,38,52.0,0.16,7.23,55.56,75.0,7.07,50.0,70.79,33.33,47.71,8.0,4502,6
2,3,36,52.2,0.14,7.72,64.54,75.89,8.36,57.14,78.57,35.71,52.14,8.0,4398,2
3,4,35,51.5,0.13,7.55,59.09,75.76,6.57,44.3,62.42,28.76,43.14,7.9,4914,5
4,5,45,52.0,0.13,6.71,36.43,59.69,6.48,37.93,51.72,34.15,48.78,14.4,4024,3
5,6,30,52.2,0.15,6.45,37.82,57.98,6.57,50.0,71.43,32.91,45.57,17.0,3978,4
0,1,56,50.7,0.21,3.16,13.16,21.05,4.75,25.0,50.0,32.72,46.91,2.0,3704,3
1,2,30,48.2,0.17,5.04,28.0,52.0,0.0,0.0,0.0,35.53,49.34,10.6,3355,6
2,3,27,46.5,0.15,5.64,40.0,51.0,5.49,43.9,51.22,40.99,60.87,1.7,4927,1
3,4,49,48.6,0.18,4.37,25.33,34.67,0.0,0.0,0.0,40.99,56.52,8.8,4965,2
4,5,37,45.0,0.19,3.86,25.0,34.38,0.0,0.0,0.0,30.87,46.31,20.6,4244,4
5,6,21,45.5,0.27,1.27,0.0,1.43,0.0,0.0,0.0,40.88,59.75,38.7,5297,5
0,1,25,52.0,0.14,6.9,52.73,73.64,6.43,44.88,66.14,30.69,42.86,1.2,4448,6
1,2,41,52.2,0.14,7.32,50.62,62.96,7.2,47.5,65.0,27.8,40.49,5.3,4852,5
2,3,25,52.6,0.12,6.73,55.0,70.0,6.3,45.0,75.0,46.43,63.39,5.5,4290,1
3,4,44,52.3,0.16,6.64,47.11,64.46,7.18,50.98,66.67,30.21,44.79,10.6,3737,2
4,5,50,52.5,0.16,6.93,52.08,69.79,6.32,42.11,52.63,44.55,65.0,17.0,4494,3
5,6,45,52.4,0.14,6.3,40.0,56.0,7.35,60.19,77.78,33.18,55.3,28.3,3874,4
0,1,28,52.0,0.14,6.49,44.63,61.98,7.25,64.58,77.08,40.54,62.16,1.2,4337,1
1,2,51,52.0,0.14,6.24,42.34,59.85,7.1,56.25,72.92,28.89,42.22,10.4,4504,3
2,3,46,55.0,0.15,6.55,43.27,61.54,6.96,38.46,65.38,35.71,45.24,15.9,4459,4
3,4,51,51.5,0.14,7.87,58.06,73.39,8.24,72.73,86.87,29.73,45.95,6.7,4831,2
4,5,49,52.3,0.14,6.86,45.16,66.67,7.68,47.37,57.89,34.38,53.13,9.6,4760,5
5,6,33,53.1,0.12,7.06,48.11,62.26,7.29,32.26,70.97,63.33,73.33,10.9,4573,6
0,1,47,51.0,0.14,5.72,34.48,58.62,0.0,0.0,0.0,41.18,64.71,1.6,3435,6
